node_1	node_2	r_bg	r_new	X13_22N_H_N_2_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_1867	OTU_9320	0.606902702682801	0.573091874882001	-0.0338108278008004	-1.23110189773744	0.218284755866019	0.875280729692123	lost	FALSE	FALSE
OTU_2492	OTU_9320	0.614826843746528	0.622730151582207	0.00790330783567905	0.292250162684229	0.770095360566315	0.999999993941542	gained	FALSE	FALSE
OTU_2521	OTU_9320	0.649528851217198	0.66541723118272	0.0158883799655221	0.632113790456302	0.527312524571747	0.999999993941542	gained	FALSE	FALSE
OTU_2825	OTU_9320	0.611681247607673	0.586737264524695	-0.0249439830829777	-0.916697660221316	0.359301092522951	0.999999993941542	lost	FALSE	FALSE
OTU_2921	OTU_9320	0.614314852495554	0.582274885887828	-0.0320399666077258	-1.18358304041642	0.236578157108007	0.903134385640781	lost	FALSE	FALSE
OTU_4303	OTU_9320	0.605542113905869	0.623852657403764	0.0183105434978954	0.664977156591513	0.506065103953512	0.999999993941542	gained	FALSE	FALSE
OTU_434	OTU_9320	0.637282144588515	0.653396840486462	0.0161146958979466	0.624104752469815	0.532558793024341	0.999999993941542	gained	FALSE	FALSE
OTU_6170	OTU_9320	0.731380559141111	0.738451814140812	0.00707125499970074	0.349698973381615	0.726564624212303	0.999999993941542	gained	FALSE	FALSE
OTU_6273	OTU_9320	0.623458332775909	0.614286321383429	-0.00917201139248003	-0.345094655715539	0.730023211071969	0.999999993941542	lost	FALSE	FALSE
OTU_6862	OTU_9320	0.690587154568795	0.67916379253393	-0.0114233620348646	-0.502279984780353	0.615470586396618	0.999999993941542	lost	FALSE	FALSE
OTU_3199	OTU_9322	0.657900305000092	0.638145295213308	-0.0197550097867834	-0.801113382727334	0.423066009358712	0.999999993941542	lost	FALSE	FALSE
OTU_4032	OTU_9322	0.613961463681076	0.594662869707109	-0.0192985939739668	-0.712409469908823	0.476211253091915	0.999999993941542	lost	FALSE	FALSE
OTU_5609	OTU_9322	0.673457297261579	0.656180118503812	-0.0172771787577674	-0.727186897340438	0.467111471675182	0.999999993941542	lost	FALSE	FALSE
OTU_1	OTU_934	0.670935904308484	0.668134889710518	-0.00280101459796533	-0.117166354719809	0.906728228284088	0.999999993941542	lost	FALSE	FALSE
OTU_1335	OTU_934	0.644241309997624	0.6436547915726	-0.000586518425024107	-0.0230615462677316	0.98160117915508	0.999999993941542	lost	FALSE	FALSE
OTU_179	OTU_934	0.653626412662948	0.653972206114399	0.000345793451450471	0.0138855290843048	0.988921306736162	0.999999993941542	gained	FALSE	FALSE
OTU_21	OTU_934	0.613993024450875	0.614227075460664	0.00023405100978835	0.00864055320799793	0.993105921782997	0.999999993941542	gained	FALSE	FALSE
OTU_2291	OTU_934	0.66261232868696	0.664379035921114	0.00176670723415429	0.0724389619193251	0.942252579095075	0.999999993941542	gained	FALSE	FALSE
OTU_39	OTU_934	0.774749028161999	0.775279852528266	0.000530824366266836	0.0305404242350102	0.975636054527814	0.999999993941542	gained	FALSE	FALSE
OTU_40	OTU_934	0.703736151991156	0.69123985535958	-0.0124962966315768	-0.569414029777411	0.569075197947872	0.999999993941542	lost	FALSE	FALSE
OTU_402	OTU_934	0.676749509682007	0.677972335421299	0.00122282573929222	0.0518901620916259	0.958616213230007	0.999999993941542	gained	FALSE	FALSE
OTU_4256	OTU_934	0.628986652265069	0.628796719848252	-0.000189932416816863	-0.00722802873621233	0.994232917682672	0.999999993941542	lost	FALSE	FALSE
OTU_467	OTU_934	0.61356904008657	0.563583310738968	-0.0499857293476018	-1.8438025157646	0.0652119259586722	0.474459546654421	lost	FALSE	FALSE
OTU_476	OTU_934	0.608384082682104	0.572003689938842	-0.0363803927432624	-1.32844970658715	0.184029587845151	0.814831037048722	lost	FALSE	FALSE
OTU_489	OTU_934	0.624809728777766	0.618986539907597	-0.00582318887016908	-0.219702314966657	0.826103001633838	0.999999993941542	lost	FALSE	FALSE
OTU_498	OTU_934	0.732348529174448	0.732215758114327	-0.000132771060120773	-0.00658607016184774	0.994745114291126	0.999999993941542	lost	FALSE	FALSE
OTU_500	OTU_934	0.620860174407098	0.622912221776679	0.00205204736958153	0.0768015987008057	0.938781378917746	0.999999993941542	gained	FALSE	FALSE
OTU_53	OTU_934	0.719764102974079	0.712151584529544	-0.00761251844453437	-0.363298453001464	0.716381948841251	0.999999993941542	lost	FALSE	FALSE
OTU_531	OTU_934	0.710407593770907	0.711264755716558	0.000857161945651441	0.0398019117532338	0.968251052082061	0.999999993941542	gained	FALSE	FALSE
OTU_59413	OTU_934	0.631322914285575	0.633267298409121	0.00194438412354592	0.0743573356579058	0.940726055993623	0.999999993941542	gained	FALSE	FALSE
OTU_767	OTU_934	0.75875381614854	0.759130037401603	0.000376221253063358	0.0203941522254606	0.983728948729652	0.999999993941542	gained	FALSE	FALSE
OTU_10438	OTU_9341	0.626045168850848	0.616495155162044	-0.00955001368880426	-0.361226893637631	0.717929839299584	0.999999993941542	lost	FALSE	FALSE
OTU_14691	OTU_9341	0.618407611632318	0.607638903039444	-0.0107687085928746	-0.401054917092638	0.688379691900715	0.999999993941542	lost	FALSE	FALSE
OTU_1705	OTU_9341	0.62951496287104	0.610717340966056	-0.0187976219049838	-0.716146247423341	0.473901049754379	0.999999993941542	lost	FALSE	FALSE
OTU_1969	OTU_9341	0.612037691650229	0.60345860889716	-0.00857908275306896	-0.315503343773223	0.75237951265052	0.999999993941542	lost	FALSE	FALSE
OTU_2892	OTU_9341	0.633267514049145	0.607600252940631	-0.0256672611085139	-0.985599917069889	0.324329478750694	0.999999993941542	lost	FALSE	FALSE
OTU_3081	OTU_9341	0.67797065229001	0.678392922272896	0.000422269982885637	0.0179737308322154	0.985659809784798	0.999999993941542	gained	FALSE	FALSE
OTU_4946	OTU_9341	0.611447476130788	0.612924704522976	0.00147722839218845	0.0542637237709841	0.95672505118705	0.999999993941542	gained	FALSE	FALSE
OTU_7104	OTU_9341	0.683938226421272	0.663234571241606	-0.0207036551796664	-0.894698549494268	0.370948254297063	0.999999993941542	lost	FALSE	FALSE
OTU_7330	OTU_9341	0.656736441033721	0.659466957042824	0.0027305160091029	0.110431109942298	0.912067481837782	0.999999993941542	gained	FALSE	FALSE
OTU_1838	OTU_9344	0.61308090672014	0.621784149030454	0.00870324231031405	0.320724841379721	0.748418920302515	0.999999993941542	gained	FALSE	FALSE
OTU_2842	OTU_9344	0.631048122531309	0.639849942904371	0.00880182037306132	0.336406081218097	0.736564664298693	0.999999993941542	gained	FALSE	FALSE
OTU_5680	OTU_9344	0.650444117749043	0.658555937779053	0.00811182003001065	0.323391576791468	0.746398707873339	0.999999993941542	gained	FALSE	FALSE
OTU_71	OTU_9344	0.609680379592889	0.617838952045699	0.00815857245280982	0.298663381196413	0.765196900007459	0.999999993941542	gained	FALSE	FALSE
OTU_8489	OTU_9344	0.621711893011208	0.560298911341034	-0.0614129816701741	-2.30245753987796	0.0213093832796075	0.234077680396476	lost	FALSE	FALSE
OTU_12314	OTU_9369	0.655552020946576	0.644984346405221	-0.0105676745413551	-0.426226838620361	0.669942562677754	0.999999993941542	lost	FALSE	FALSE
