	X13_12N_N_N_2	X13_18S_H_C_0	X13_22N_H_N_2	X13_23N_N_N_1	X13_3N_N_N_1	X13_4S_H_C_2	X13_6N_N_N_1	X13_8N_N_N_0	X14_15N_H_N_0	X14_16S_H_C_1	X14_1N_H_N_1	X14_23S_N_C_1	X14_3N_N_N_1	X14_3S_N_C_1	X14_4N_H_N_2	X14_4S_H_C_2
OTU_1235	0	0.198063495139496	0.262990045406327	0.108403076501751	0.342767691421058	0.159515270055584	0.0860441138601977	0.205182106570248	0.0839516593284365	0.24771883211864	0.265608844599301	0	0.120925459957689	0.405744545316511	0.162515093104147	0.532802994026503
OTU_1759	0.0821416670746043	0	0.293409838416186	0.120619840702416	0.649325928623597	0	0.310720003327811	0.323946072086474	0.0773529495123971	0.418338080450476	0.0885012073210226	0.192986733294808	0.636792767229181	0	0.272639895448463	0.387523388802321
OTU_1246	0.107547355021134	0.0757850633581365	0.499608904703637	0.147076101018598	0	0	0.121162557938818	0	0.420327016837745	0.841297881703725	0.106332944484221	0	0	0.0880341649548141	0.101626072947957	0.10058884733417
OTU_1536	0	0.123677511374577	0.270002414551333	0	0	0	0	0	0	0.108386415474605	0.0898394259166541	0	0	0.113950242155307	0	0.127555088250201
OTU_1223	0.381255797742067	0.341349252775524	0.507770872329461	0	0	0.369636020317918	0.532117176571133	0.624957180962714	0.185682868560299	0.120271376595148	0.772539800466117	0	0.177329652799482	0.165072805658288	0.539512264134105	0.686456265042517
OTU_1561	0	0	0	0.138342435999995	0	0	0.107917946020759	0.0976745978022478	0	0	0.193620175144778	0	0.214331492153817	0	0.0821022943188669	0
OTU_1751	0	0	0	0.213016574684403	0.218976127148074	0.10790811509175	0.404565451817877	0	0.276774022488783	0.17126622704618	0	0	0.18005918314085	0.219269537798725	0.14125789202196	0
OTU_10843	0	0.081270124533358	0.247726506780131	0.623617182053186	0.262759975906505	0	0.0601502881324577	0.275268503808674	0.133083825852683	0.225846872709174	0.096645797902603	0.112842473086211	0	0	0.0861295699587634	0
OTU_1372	0	0	0	0.104430531754521	0	0	0.135045047359862	0	0	0.152069245338037	0	0	0	0	0	0
OTU_1529	0.0899443415711784	0	0.0959483783220792	0.278043474360447	0.361203543897008	0	0.194263370502096	0.0741333927516298	0.076008224724984	0.0844761051303445	0.172061287678434	0.351559083533445	0	0	0.157172730905306	0.0979926360845721
OTU_1762	0	0.212906127020172	0.91300715138292	0.126915924107487	0.133073222761131	0.530324662803755	0.215665774723143	0.533479418930517	0	0.747990889339634	0.27794763726418	0	0.734792435312886	0.0825740207375121	0.315987345118289	0.44406325065974
OTU_1549	0.0526254041048498	0	0	0	0.115703034333153	0.238021459104361	0.0684905640649642	0	1.04154945822086	0.118171463378976	0.0812127488440846	0.17240796499104	0	0	0	0.0703854515512815
OTU_182	0	0.815570225377344	0	0	0	0.0525248482042805	0	0	0.250880302846019	0	0	0	0	0	0	0.324393869097001
OTU_1508	0	0	0	0.134433113106906	0.273349380124219	0.0878250692117659	0	0.176189866907394	0.306023167083062	0.0707049616679855	0	0	0	0	0	0
OTU_1633	0	0	0	0	0	0	0.115910937644026	0.385015016958518	0	0	0.184958688791269	0.223306718497158	0.125794450442002	0	0	0
OTU_1669	0.115907614729107	0.18583513473919	0	0	0.207037764293445	0	0	0	0	0.118663899464822	0.116331783587779	0.216956323342734	0	0	0	0
OTU_1671	0.190552294248825	0.15531094556203	0.170448134486973	0.142120539215468	0.335199723332796	0.425713603590391	0.113318483431849	0	0.836538142142855	0.279528696733548	0.42683730789377	0	0.486939930416977	0.0777756235055276	0.106628786137124	0.163629595504568
OTU_1024	0	0	0.155462775816718	0	0.13606943259715	0	0.101874563888323	0.117664848759697	0.0835143141778694	0.102597056164474	0	0.157659372979929	0.134632565167815	0	0	0
OTU_120	0	0	0	0	0.168350058743278	0	0.168311247366517	0	0	0	0.748672373514548	0.0928989879588993	0	0	0	0
OTU_1840	0.275872233789181	0.637341671114808	0.118148593619291	0.485661026911178	0.412424720368729	0	0.495702550977157	0.370233757916987	0.28549300477659	0.838474338863219	0.460218029157134	0	0.221172109305942	0.768550517257376	0.638467652180542	0.219565867980768
OTU_1243	0.318737849980607	1.31388890375806	1.93877594783139	0.641709050795852	0.764159192481105	0.145675058558037	1.16867750586706	1.56977713462571	0.584512466283484	0.669408366947617	1.42508321791022	0.0984761977758058	1.28373357738099	1.27318180588139	1.1306221127418	1.07375965283164
