node1	node2	X13_12N_N_N_2	X13_18S_H_C_0	X13_22N_H_N_2	X13_23N_N_N_1	X13_3N_N_N_1	X13_4S_H_C_2	X13_6N_N_N_1	X13_8N_N_N_0	X14_15N_H_N_0	X14_16S_H_C_1	X14_1N_H_N_1	X14_23S_N_C_1	X14_3N_N_N_1	X14_3S_N_C_1	X14_4N_H_N_2	X14_4S_H_C_2
OTU_110	OTU_1238	0	0	0	0	0	0	0	0	0	0	-0.0938076785561566	0	0	0	-0.100122981314422	0
OTU_1144	OTU_1238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1039	OTU_1243	0	0	-0.292097826137274	-0.184843773481843	-0.264506440035596	0	0	-0.298507085990778	0	0	-0.351630391637031	0	-0.244360179636291	-0.125479911336981	-0.136362561053362	-0.128871175351518
OTU_12	OTU_1243	0	-0.241078718444338	-0.265638109342182	0	-0.124213484151051	0	-0.146942280375531	-0.198099822668068	0	-0.135580257686189	-0.177929403589104	0	-0.162700254796468	-0.186653693729984	-0.186674616657984	-0.253955908023818
OTU_12329	OTU_12446	0	0	0	0	-0.0962170342872832	0	0	0	0	0	0	0	0	0	0	0
OTU_102	OTU_1246	0	-0.0757850633581365	-0.229972282209398	0	0	0	0	0	0	0.0843516855882606	0	0	0	0	0	0
OTU_1162	OTU_125	0	0	-0.191966369081843	0	0	0	0	-0.192375094805546	-0.415694257025163	0	-0.140156190140537	-0.12940814979639	0	0	-0.121801516072559	-0.232694451334669
OTU_123	OTU_1257	0	0	0	0	0	0	0	0	0	-0.0764501950528369	0	0	-0.128565077992504	0	0	0
OTU_1216	OTU_1255	0	0.0835315402041718	0	0	0	0	0	0	0	-0.0964314601576185	-0.0770350790765967	0	0	0	0	0
OTU_1001	OTU_1259	0	0	0	0	-0.13153887518287	0	0	-0.0888153380444343	0	0	0	0	0	-0.133234120159477	0	0
OTU_1211	OTU_1259	0	0	0	0	0	0	0	-0.115635661764902	0	0	0	0	0	0	0	0
OTU_12446	OTU_12598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1133	OTU_126	0	-0.213684465309428	0	0	-0.162195850420095	0	0	0	-0.339008331899565	-0.386891721694751	0	0	0	0	-0.22401386551951	0
