node_1	node_2	r_bg	r_new	X13_18S_H_C_0_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_253	OTU_910	0.651006153561915	0.723613845174233	0.0726076916123174	2.89830445423807	0.00375186188182367	0.0371216482950645	gained	FALSE	FALSE
OTU_2751	OTU_910	0.603832996420893	0.661638766065545	0.0578057696446521	2.09248126895272	0.0363954856137484	0.215410286213911	gained	FALSE	FALSE
OTU_29	OTU_910	0.637716342248032	0.718764088269869	0.0810477460218375	3.14182036765973	0.00167901011383615	0.0193196265171577	gained	FALSE	FALSE
OTU_315	OTU_910	0.700673375136355	0.740378083696439	0.0397047085600842	1.79392212919423	0.0728255988163765	0.35215682812436	gained	FALSE	FALSE
OTU_3559	OTU_910	0.663433638008247	0.580322471265625	-0.0831111667426218	-3.41437350100654	0.000639288720768237	0.00867522274300688	lost	FALSE	FALSE
OTU_380	OTU_910	0.63381479658699	0.717992810699767	0.0841780141127767	3.23610716751995	0.00121171882421157	0.0147648308228556	gained	FALSE	FALSE
OTU_455	OTU_910	0.605945640355287	0.690995890794519	0.0850502504392324	3.09112420104742	0.0019940020894026	0.0222337081946477	gained	FALSE	FALSE
OTU_605	OTU_910	0.735262196535115	0.789662412223428	0.0544002156883132	2.72362549522922	0.00645696790434885	0.0573237415265584	gained	FALSE	FALSE
OTU_700	OTU_910	0.633869649611642	0.567075123488142	-0.0667945261234999	-2.56812153340804	0.0102251299921851	0.0823561422277474	lost	FALSE	FALSE
OTU_85	OTU_910	0.616679216188718	0.691351883949467	0.0746726677607497	2.77142595951478	0.00558113634262626	0.0510335540677141	gained	FALSE	FALSE
OTU_877	OTU_910	0.698794563143961	0.764637797382403	0.0658432342384422	2.95961569854283	0.00308023016376854	0.0316664968767272	gained	FALSE	FALSE
OTU_1291	OTU_911	0.671554885755201	0.52495157270925	-0.146603313045951	-6.14169398690814	8.16460352347905e-10	5.64623709090348e-08	lost	FALSE	FALSE
OTU_2371	OTU_911	0.619917854727666	0.555097055050523	-0.0648207996771437	-2.42142911275324	0.0154596159015631	0.113427688066754	lost	FALSE	FALSE
OTU_2459	OTU_911	0.620001142077132	0.504643794253721	-0.115357347823412	-4.30998229960372	1.63267613502474e-05	0.000377622457490407	lost	FALSE	FALSE
OTU_407	OTU_911	0.616907198535551	0.568011797547526	-0.0488954009880245	-1.81554393140586	0.069440361122842	0.340819755989764	lost	FALSE	FALSE
OTU_4568	OTU_911	0.635469056180814	0.517381254266342	-0.118087801914473	-4.55571076100798	5.22087367417117e-06	0.000139671652700092	lost	FALSE	FALSE
OTU_598	OTU_911	0.617698990698521	0.527866308635059	-0.0898326820634614	-3.34086589573294	0.000835175524152194	0.0108392820305122	lost	FALSE	FALSE
OTU_265	OTU_912	0.617376925729694	0.545848623223063	-0.0715283025066306	-2.65841852615088	0.00785083303694179	0.0669397439288055	lost	FALSE	FALSE
OTU_4072	OTU_912	0.626040147143563	0.582539145016759	-0.0435010021268046	-1.64539757713971	0.0998878488828579	0.435647688841982	lost	FALSE	FALSE
OTU_1374	OTU_913	0.689666486053049	0.692633832120586	0.00296734606753724	0.130156651136156	0.896442490142109	0.999999973033941	gained	FALSE	FALSE
OTU_145	OTU_913	0.64177470097772	0.263265422500598	-0.378509278477123	-14.8024823859853	1.4117470865471e-49	8.51846491122417e-46	lost	FALSE	FALSE
OTU_520	OTU_913	0.66545451487356	0.7590139921472	0.0935594772736399	3.86213698251548	0.000112399510056111	0.00199596556967896	gained	FALSE	FALSE
OTU_4233	OTU_914	0.743620675451546	0.749242543498387	0.00562186804684095	0.289250071346125	0.772390017212932	0.999999973033941	gained	FALSE	FALSE
OTU_4372	OTU_914	0.740942625401601	0.740992201926712	4.95765251111724e-05	0.00252827028622441	0.997982734322196	0.999999973033941	gained	FALSE	FALSE
OTU_684	OTU_914	0.628189939433942	0.637418632499164	0.009228693065222	0.350624156934529	0.725870331110239	0.999999973033941	gained	FALSE	FALSE
OTU_8690	OTU_914	0.626239639659863	0.629140953195047	0.00290131353518397	0.109785432595065	0.912579544308653	0.999999973033941	gained	FALSE	FALSE
OTU_138	OTU_917	0.612563729038269	0.604297638040995	-0.00826609099727394	-0.304306237798574	0.760894593297429	0.999999973033941	lost	FALSE	FALSE
OTU_3043	OTU_917	0.686159317517309	0.414847817156345	-0.271311500360964	-11.7920196109282	4.2912528714236e-32	6.41218166380678e-29	lost	FALSE	FALSE
OTU_274	OTU_918	0.629543890205752	0.448886459980236	-0.180657430225516	-6.88304866599585	5.85850015651977e-12	6.26511955632953e-10	lost	FALSE	FALSE
OTU_3823	OTU_919	0.628466627832303	0.628242907824351	-0.000223720007952122	-0.00850464068532532	0.993214360301759	0.999999973033941	lost	FALSE	FALSE
OTU_1	OTU_92	0.819214465259729	0.819459820970375	0.000245355710646433	0.0171583857735059	0.986310260639472	0.999999973033941	gained	FALSE	FALSE
OTU_1116	OTU_92	0.701571396276914	0.695709558134446	-0.00586183814246821	-0.265503979673191	0.79062124450311	0.999999973033941	lost	FALSE	FALSE
OTU_1191	OTU_92	0.852556016727051	0.829333905672379	-0.0232221110546718	-1.95537982415147	0.0505382557029362	0.27282018409684	lost	FALSE	FALSE
OTU_1230	OTU_92	0.60534106952866	0.602786228909818	-0.00255484061884248	-0.092747539552297	0.92610412864769	0.999999973033941	lost	FALSE	FALSE
OTU_13031	OTU_92	0.716384184290718	0.716435048368534	5.08640778166258e-05	0.00240322294348775	0.998082507362964	0.999999973033941	gained	FALSE	FALSE
OTU_1320	OTU_92	0.672468415668398	0.645304994407117	-0.0271634212612818	-1.14051550564004	0.254071596548428	0.762249795656014	lost	FALSE	FALSE
OTU_1335	OTU_92	0.654598419995123	0.651993935155151	-0.00260448483997167	-0.104817245999474	0.91652082510406	0.999999973033941	lost	FALSE	FALSE
OTU_1549	OTU_92	0.605029460812366	0.582599220174679	-0.0224302406376871	-0.813793201835723	0.41576343024257	0.95431332979293	lost	FALSE	FALSE
OTU_179	OTU_92	0.713283054815161	0.693699039483753	-0.0195840153314079	-0.916953043033824	0.359167246784771	0.89991581408754	lost	FALSE	FALSE
OTU_182	OTU_92	0.755468106060012	0.687504142749182	-0.06796396331083	-3.64148124713207	0.000271073874081677	0.0042197151419878	lost	FALSE	FALSE
OTU_1906	OTU_92	0.680567989009862	0.680571364999622	3.3759897603014e-06	0.000144642005291018	0.999884592377537	0.999999973033941	gained	FALSE	FALSE
OTU_2134	OTU_92	0.618250451853188	0.615939540619869	-0.00231091123331839	-0.0860373115011569	0.931436756891304	0.999999973033941	lost	FALSE	FALSE
OTU_2206	OTU_92	0.695532985507587	0.694696470275464	-0.00083651523212358	-0.0372696399894846	0.970270012446257	0.999999973033941	lost	FALSE	FALSE
OTU_2241	OTU_92	0.614312192412481	0.614304974202291	-7.2182101896745e-06	-0.000266645294036406	0.999787247839199	0.999999973033941	lost	FALSE	FALSE
OTU_2291	OTU_92	0.726857382253738	0.72363154678265	-0.0032258354710889	-0.157298329435196	0.875009736788057	0.999999973033941	lost	FALSE	FALSE
