node_1	node_2	r_bg	r_new	X14_23S_N_C_1_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_1103	OTU_18464	0.633353654476852	0.505304779853356	-0.128048874623496	-4.91785831938679	8.74962005720673e-07	0.000158624197888519	lost	FALSE	FALSE
OTU_1178	OTU_18464	0.613216589866683	0.591058357519926	-0.0221582323467575	-0.81677498882506	0.414057027958458	0.999999975646187	lost	FALSE	FALSE
OTU_1633	OTU_18464	0.617818262384112	0.483782424285781	-0.134035838098331	-4.98596362815004	6.16537432087394e-07	0.000118334782808677	lost	FALSE	FALSE
OTU_1669	OTU_18464	0.60145479421809	0.384498470875356	-0.216956323342734	-7.8182197885957	5.35755882365368e-15	9.38721154852849e-12	lost	FALSE	FALSE
OTU_1225	OTU_1849	0.6379399455124	0.572305182181998	-0.0656347633304016	-2.54555903102	0.0109102915100234	0.201962783379835	lost	FALSE	FALSE
OTU_1671	OTU_185	0.702861578381374	0.671147923583773	-0.0317136547976018	-1.44157078380792	0.149423495434058	0.798514130415119	lost	FALSE	FALSE
OTU_1024	OTU_1852	0.644760539229144	0.572824490659484	-0.07193604856966	-2.83172147484039	0.00462981580624892	0.115829272262162	lost	FALSE	FALSE
OTU_10	OTU_186	0.653199600047255	0.659852505566857	0.00665290551960174	0.266891234637245	0.789552905682079	0.999999975646187	gained	FALSE	FALSE
OTU_107	OTU_186	0.606708549251233	0.566374158938663	-0.0403343903125699	-1.4680867604692	0.142080657400255	0.782896871644451	lost	FALSE	FALSE
OTU_109	OTU_186	0.637212656577788	0.600128457292891	-0.0370841992848975	-1.43601680255494	0.150997560121424	0.801808995628893	lost	FALSE	FALSE
OTU_126	OTU_186	0.709129503645704	0.680411895684808	-0.0287176079608965	-1.32862204831709	0.183972694170597	0.861320289526381	lost	FALSE	FALSE
OTU_16	OTU_186	0.695731745003667	0.681160113974341	-0.0145716310293262	-0.649564389040122	0.515973642041861	0.999999975646187	lost	FALSE	FALSE
OTU_1671	OTU_186	0.60446553691194	0.609536705352889	0.00507116844094901	0.183789691685052	0.854178443229782	0.999999975646187	gained	FALSE	FALSE
OTU_172	OTU_186	0.718109571444985	0.705779005352909	-0.0123305660920755	-0.585571139957202	0.558163747185094	0.999999975646187	lost	FALSE	FALSE
OTU_1044	OTU_1867	0.65037066800299	0.656247301699106	0.00587663369611535	0.234243258215427	0.814796133833549	0.999999975646187	gained	FALSE	FALSE
OTU_1213	OTU_1867	0.712349438073633	0.680447965057963	-0.0319014730156708	-1.48963871285694	0.136319257211777	0.770132654918009	lost	FALSE	FALSE
OTU_1424	OTU_1867	0.606994981566595	0.466298607160461	-0.140696374406133	-5.123870273208	2.99326964353308e-07	6.44909570292055e-05	lost	FALSE	FALSE
OTU_15831	OTU_1867	0.700822804336957	0.70597744096719	0.00515463663023297	0.2329905649762	0.815768732239218	0.999999975646187	gained	FALSE	FALSE
OTU_1679	OTU_1867	0.705516340196215	0.665907734174901	-0.0396086060213146	-1.81384556610962	0.0697015050980388	0.574124351669455	lost	FALSE	FALSE
OTU_120	OTU_1853	0.607126634125121	0.514227646166222	-0.0928989879588993	-3.38404502489485	0.000714262891014553	0.0312658547648812	lost	FALSE	FALSE
OTU_1840	OTU_1853	0.678528076063221	0.658888705508705	-0.0196393705545166	-0.837112334596495	0.402529427752243	0.999999975646187	lost	FALSE	FALSE
OTU_107	OTU_187	0.702025544477766	0.696680335655202	-0.00534520882256462	-0.24240825423524	0.808463839127621	0.999999975646187	lost	FALSE	FALSE
OTU_1159	OTU_187	0.65554423637846	0.618671391031071	-0.0368728453473882	-1.48716872000747	0.136970255283006	0.771544082465047	lost	FALSE	FALSE
OTU_123	OTU_187	0.615682542918414	0.613550244739089	-0.00213229817932525	-0.0789822729002192	0.937046723185727	0.999999975646187	lost	FALSE	FALSE
OTU_1243	OTU_187	0.610199770103804	0.606178159151454	-0.00402161095235043	-0.147368967160682	0.882840798673571	0.999999975646187	lost	FALSE	FALSE
OTU_1329	OTU_187	0.633407744479208	0.63430736080674	0.00089961632753166	0.0345547112867484	0.972434815071204	0.999999975646187	gained	FALSE	FALSE
OTU_146	OTU_187	0.640836343362757	0.616400680470279	-0.0244356628924782	-0.953661631032285	0.340254947956396	0.999999975646187	lost	FALSE	FALSE
OTU_16	OTU_187	0.605042819460141	0.60608578617285	0.00104296671270854	0.0378409165315582	0.969814521045155	0.999999975646187	gained	FALSE	FALSE
OTU_172	OTU_187	0.62937529013239	0.630191177474292	0.000815887341901744	0.0310743844684121	0.975210218034403	0.999999975646187	gained	FALSE	FALSE
OTU_186	OTU_187	0.612184065578501	0.601258723791392	-0.0109253417871096	-0.401904246256972	0.68775449758013	0.999999975646187	lost	FALSE	FALSE
OTU_13256	OTU_18714	0.615730365602252	0.627261113699571	0.0115307480973196	0.427149956376255	0.66927010852829	0.999999975646187	gained	FALSE	FALSE
OTU_13513	OTU_18714	0.66020984722065	0.670583383445304	0.0103735362246539	0.422942073068948	0.672337525191151	0.999999975646187	gained	FALSE	FALSE
OTU_14078	OTU_18714	0.653782543024903	0.664593319865486	0.0108107768405822	0.434267544670371	0.664094169075116	0.999999975646187	gained	FALSE	FALSE
OTU_100	OTU_188	0.67619938489302	0.640274378489559	-0.035925006403461	-1.52237394972025	0.127915408308933	0.750800536017565	lost	FALSE	FALSE
OTU_1007	OTU_188	0.617931591009406	0.615727780386456	-0.00220381062295005	-0.0819975399976211	0.934648669667446	0.999999975646187	lost	FALSE	FALSE
OTU_110	OTU_188	0.715423696018699	0.72030334491914	0.00487964890044179	0.229903864468436	0.818166473345917	0.999999975646187	gained	FALSE	FALSE
OTU_1159	OTU_188	0.602871703994386	0.53483388843521	-0.0680378155591757	-2.45837767328963	0.0139566314498159	0.23524339339655	lost	FALSE	FALSE
OTU_12	OTU_188	0.661198994970463	0.655750579080366	-0.00544841589009704	-0.222654633442817	0.82380431224629	0.999999975646187	lost	FALSE	FALSE
OTU_1238	OTU_188	0.652534971441405	0.631208949499105	-0.0213260219423004	-0.854232180909498	0.392976355746916	0.999999975646187	lost	FALSE	FALSE
OTU_1342	OTU_188	0.636924100751211	0.602517824068401	-0.0344062766828099	-1.3314950273668	0.183026180114045	0.859764347101805	lost	FALSE	FALSE
OTU_1383	OTU_188	0.607154801994558	0.61774006397386	0.0105852619793014	0.385611775833842	0.699784210671255	0.999999975646187	gained	FALSE	FALSE
OTU_1477	OTU_188	0.643272142110733	0.555310940116137	-0.0879612019945956	-3.45121863379533	0.000558061297076977	0.0260692861545927	lost	FALSE	FALSE
OTU_151	OTU_188	0.60977725353535	0.618025809106408	0.00824855557105808	0.302014206961111	0.762641232771941	0.999999975646187	gained	FALSE	FALSE
OTU_158	OTU_188	0.688240866168317	0.695115264763175	0.00687439859485772	0.300406241086715	0.763867303710963	0.999999975646187	gained	FALSE	FALSE
OTU_1626	OTU_188	0.628786715987163	0.638441868689837	0.00965515270267403	0.367281670416208	0.713408925044487	0.999999975646187	gained	FALSE	FALSE
OTU_163	OTU_188	0.67181977853334	0.670756949666874	-0.00106282886646647	-0.0445542681935778	0.964462595127876	0.999999975646187	lost	FALSE	FALSE
OTU_165	OTU_188	0.703139834567388	0.706188272611642	0.00304843804425448	0.138676533513705	0.889705762441713	0.999999975646187	gained	FALSE	FALSE
OTU_167	OTU_188	0.663934363822046	0.667646009445263	0.00371164562321713	0.152663087971802	0.878663971013173	0.999999975646187	gained	FALSE	FALSE
OTU_1009	OTU_1878	0.631857757905632	0.622446382067455	-0.00941137583817786	-0.360315545397244	0.718611175429165	0.999999975646187	lost	FALSE	FALSE
OTU_1069	OTU_1878	0.604563123218175	0.614644826046686	0.0100817028285112	0.36544982119234	0.714775657139008	0.999999975646187	gained	FALSE	FALSE
OTU_1733	OTU_1878	0.655509701789065	0.669845638336178	0.0143359365471126	0.578156190861155	0.563158673099732	0.999999975646187	gained	FALSE	FALSE
OTU_1762	OTU_1878	0.633438827413631	0.630788460442812	-0.00265036697081866	-0.101808610668322	0.9189085908425	0.999999975646187	lost	FALSE	FALSE
OTU_1781	OTU_1878	0.615630558489765	0.624562441375834	0.0089318828860685	0.330811001736494	0.740787250170315	0.999999975646187	gained	FALSE	FALSE
OTU_1822	OTU_1878	0.686308940698361	0.6870175097673	0.000708569068939569	0.0308085133982919	0.975422250934181	0.999999975646187	gained	FALSE	FALSE
OTU_1469	OTU_1869	0.606252643330782	0.556390091106984	-0.0498625522237984	-1.81330489343014	0.0697848089829174	0.574473085327392	lost	FALSE	FALSE
OTU_1307	OTU_1884	0.689167358173308	0.698964729708374	0.00979737153506632	0.429178654240696	0.667793215889379	0.999999975646187	gained	FALSE	FALSE
OTU_1771	OTU_1884	0.662266884246741	0.606840812765616	-0.0554260714811243	-2.27074064679561	0.0231626828598316	0.318037362920428	lost	FALSE	FALSE
OTU_1056	OTU_1889	0.650782326392103	0.538335993354269	-0.112446333037835	-4.48628756562431	7.24749085211166e-06	0.000893976999970136	lost	FALSE	FALSE
OTU_1324	OTU_189	0.621065826916333	0.601342707512973	-0.0197231194033601	-0.738480473872076	0.460222528436093	0.999999975646187	lost	FALSE	FALSE
OTU_1003	OTU_1891	0.61035597748328	0.573369032936599	-0.0369869445466804	-1.35577113816544	0.175171997055613	0.846791764295611	lost	FALSE	FALSE
OTU_1762	OTU_1899	0.644613456182987	0.627888229163861	-0.0167252270191252	-0.658165385828844	0.510431864310003	0.999999975646187	lost	FALSE	FALSE
OTU_1822	OTU_1899	0.669070966963233	0.524567826406087	-0.144503140557145	-6.01721388320392	1.77444563610184e-09	7.9228496694041e-07	lost	FALSE	FALSE
OTU_1878	OTU_1899	0.71761678462197	0.667068701135054	-0.0505480834869161	-2.39699636642514	0.0165300876335676	0.26073693662836	lost	FALSE	FALSE
OTU_1216	OTU_190	0.622408657608219	0.62911219406013	0.00670353645191102	0.251680476851259	0.801288048556514	0.999999975646187	gained	FALSE	FALSE
OTU_128	OTU_190	0.623711133481432	0.6206892966974	-0.00302183678403134	-0.113754530448543	0.909432383981845	0.999999975646187	lost	FALSE	FALSE
OTU_1329	OTU_190	0.614921994161277	0.618749043923931	0.0038270497626538	0.141544070841778	0.887440146976372	0.999999975646187	gained	FALSE	FALSE
OTU_1477	OTU_190	0.65513134930104	0.566566817957496	-0.0885645313435439	-3.56862967372867	0.000358853231797519	0.0187914297785513	lost	FALSE	FALSE
OTU_167	OTU_190	0.637910889462374	0.64336022027486	0.00544933081248622	0.211332005831559	0.832628209815969	0.999999975646187	gained	FALSE	FALSE
OTU_172	OTU_190	0.676815327046706	0.675801077079048	-0.00101424996765742	-0.0430464010313378	0.965664545437066	0.999999975646187	lost	FALSE	FALSE
OTU_1768	OTU_190	0.61075660948173	0.610548499833645	-0.000208109648084265	-0.00763429401962857	0.993908773837759	0.999999975646187	lost	FALSE	FALSE
OTU_187	OTU_190	0.604185010332674	0.603678274555666	-0.000506735777007883	-0.0183553518076565	0.985355370531356	0.999999975646187	lost	FALSE	FALSE
OTU_1230	OTU_1900	0.620006406436013	0.522018235765945	-0.0979881706700673	-3.6610737639067	0.000251160428910449	0.0144000019653157	lost	FALSE	FALSE
OTU_1388	OTU_1901	0.679161503431997	0.659350161578763	-0.0198113418532334	-0.84579046802342	0.397669643893611	0.999999975646187	lost	FALSE	FALSE
OTU_176	OTU_1901	0.660909498579752	0.6662868571061	0.00537735852634802	0.219601466496321	0.826181549191149	0.999999975646187	gained	FALSE	FALSE
OTU_1298	OTU_19	0.704412285879806	0.695730252842852	-0.00868203303695425	-0.396358553753071	0.691840536958798	0.999999975646187	lost	FALSE	FALSE
OTU_13	OTU_19	0.646702507816162	0.656681393203219	0.00997888538705771	0.394506505277968	0.693207125330532	0.999999975646187	gained	FALSE	FALSE
OTU_11304	OTU_1905	0.611083050541879	0.620664137796199	0.00958108725431972	0.35169632642593	0.725066015868152	0.999999975646187	gained	FALSE	FALSE
OTU_1	OTU_1906	0.710177974227181	0.709045354146283	-0.00113262008089787	-0.0525580685205266	0.958084027238181	0.999999975646187	lost	FALSE	FALSE
