logFC	adj.P.Val	name	group	Regulation
-4.47309185849549	0.31714114522337	OTU_262	unwarming_vs_warming	NS
-0.152190179011687	0.31714114522337	OTU_3963	unwarming_vs_warming	NS
-0.578227009193287	0.31714114522337	OTU_385	unwarming_vs_warming	NS
-0.420576153069146	0.31714114522337	OTU_607	unwarming_vs_warming	NS
-0.208058734128724	0.31714114522337	OTU_102	unwarming_vs_warming	NS
-0.0987073572293325	0.31714114522337	OTU_5069	unwarming_vs_warming	NS
-0.336396376508245	0.31714114522337	OTU_354	unwarming_vs_warming	NS
-0.279905335281252	0.31714114522337	OTU_2751	unwarming_vs_warming	NS
-0.130233209494057	0.31714114522337	OTU_1440	unwarming_vs_warming	NS
-0.401125848981622	0.31714114522337	OTU_93	unwarming_vs_warming	NS
-0.267939436613676	0.31714114522337	OTU_502	unwarming_vs_warming	NS
-0.197138197230605	0.31714114522337	OTU_49	unwarming_vs_warming	NS
-1.57268064878088	0.31714114522337	OTU_165	unwarming_vs_warming	NS
-0.325012536411502	0.31714114522337	OTU_717	unwarming_vs_warming	NS
-0.103811289264412	0.31714114522337	OTU_1296	unwarming_vs_warming	NS
-0.338548819603592	0.31714114522337	OTU_1368	unwarming_vs_warming	NS
-0.20288388918911	0.31714114522337	OTU_66	unwarming_vs_warming	NS
-0.770073620887736	0.31714114522337	OTU_240	unwarming_vs_warming	NS
-2.99622278398689	0.31714114522337	OTU_126	unwarming_vs_warming	NS
-0.276338790305816	0.31714114522337	OTU_340	unwarming_vs_warming	NS
-0.911799545152472	0.31714114522337	OTU_50	unwarming_vs_warming	NS
-0.564224930670089	0.31714114522337	OTU_1258	unwarming_vs_warming	NS
-0.154278388344123	0.31714114522337	OTU_2793	unwarming_vs_warming	NS
-0.732416609361491	0.320427363055958	OTU_669	unwarming_vs_warming	NS
-1.02700611981136	0.320427363055958	OTU_703	unwarming_vs_warming	NS
-0.197648227178824	0.320427363055958	OTU_814	unwarming_vs_warming	NS
-0.0943251699542296	0.323554687219388	OTU_3547	unwarming_vs_warming	NS
-5.13773436941063	0.327712475980005	OTU_85	unwarming_vs_warming	NS
-0.426895842131179	0.327712475980005	OTU_728	unwarming_vs_warming	NS
-0.328950162178931	0.327712475980005	OTU_3805	unwarming_vs_warming	NS
-0.213275533032616	0.327712475980005	OTU_269	unwarming_vs_warming	NS
-0.205710712505846	0.327712475980005	OTU_3487	unwarming_vs_warming	NS
-0.330379322701297	0.327712475980005	OTU_356	unwarming_vs_warming	NS
-0.402185658477653	0.329663534727476	OTU_549	unwarming_vs_warming	NS
-0.317550243957441	0.334184641489739	OTU_1126	unwarming_vs_warming	NS
-1.14734637052672	0.334184641489739	OTU_117	unwarming_vs_warming	NS
-0.338767091331914	0.334479439919177	OTU_835	unwarming_vs_warming	NS
-0.235363075060374	0.336510026157129	OTU_4427	unwarming_vs_warming	NS
-0.229954984343351	0.338189840665654	OTU_1756	unwarming_vs_warming	NS
-1.33966789696858	0.338189840665654	OTU_1954	unwarming_vs_warming	NS
-0.166051250716455	0.347876075178347	OTU_3968	unwarming_vs_warming	NS
-0.722518779138993	0.349208309909805	OTU_170	unwarming_vs_warming	NS
-0.168368708832664	0.355471724878035	OTU_582	unwarming_vs_warming	NS
-0.198526633164392	0.356055076052051	OTU_80	unwarming_vs_warming	NS
-1.29176175087551	0.357236677890886	OTU_229	unwarming_vs_warming	NS
-0.442716083980378	0.357236677890886	OTU_494	unwarming_vs_warming	NS
-0.491025640961344	0.358723547278719	OTU_849	unwarming_vs_warming	NS
