"","X09_10S_H_C_1","X09_11S_N_C_0","X09_12S_N_C_2","X09_13S_N_C_0","X09_14S_N_C_2","X09_15S_H_C_0","X09_16S_H_C_1","X09_17S_N_C_2","X09_18S_H_C_0","X09_19S_N_C_1","X09_1S_H_C_1","X09_20S_H_C_1","X09_21S_H_C_2","X09_22S_H_C_2","X09_23S_N_C_1","X09_24S_N_C_0","X09_2S_H_C_0","X09_3S_N_C_1","X09_4S_H_C_2","X09_5S_H_C_0","X09_6S_N_C_1","X09_7S_H_C_2","X09_8S_N_C_0","X09_9S_N_C_2","X13_12N_N_N_2","X13_18S_H_C_0","X13_22N_H_N_2","X13_23N_N_N_1","X13_3N_N_N_1","X13_4S_H_C_2","X13_6N_N_N_1","X13_8N_N_N_0","X14_15N_H_N_0","X14_16S_H_C_1","X14_1N_H_N_1","X14_23S_N_C_1","X14_3N_N_N_1","X14_3S_N_C_1","X14_4N_H_N_2","X14_4S_H_C_2"
"OTU_644",1,13,5,3,17,4,0,1,0,3,0,0,4,1,4,1,0,0,0,2,1,3,3,0,0,1,1,0,1,1,1,2,0,0,0,0,0,0,0,0
"OTU_686",0,1,0,14,4,4,1,4,0,1,0,1,10,2,6,1,3,0,0,0,5,1,5,1,1,0,0,0,71,5,4,0,0,0,0,1,6,2,0,0
"OTU_693",1,0,0,1,1,1,1,0,3,9,1,4,0,0,2,6,0,0,0,1,1,1,2,2,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,2
"OTU_703",5,3,11,11,7,4,4,2,5,12,4,9,3,5,12,14,0,11,8,3,1,2,8,14,0,10,2,1,0,1,0,1,0,1,0,1,0,7,0,5
"OTU_774",1,0,1,7,1,19,0,1,0,0,7,0,0,0,6,2,2,2,1,10,1,0,2,5,0,2,4,2,0,12,1,0,0,0,0,0,0,0,0,0
"OTU_784",3,15,6,5,3,0,3,5,5,2,0,0,4,1,4,2,8,1,0,7,7,2,6,5,2,0,0,0,8,0,0,2,0,0,0,0,1,3,0,0
"OTU_829",1,1,4,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0,3,1,3,0,1,3,0,0,1,0,9,3
"OTU_905",5,0,0,3,6,1,1,0,0,2,1,1,0,1,9,1,1,1,1,0,1,2,6,0,0,0,1,0,2,2,0,0,0,1,0,0,0,2,0,0
"OTU_909",7,1,1,7,3,15,2,5,0,1,0,34,6,34,3,10,2,5,26,5,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1000",27,14,32,25,2,2,2,2,0,1,0,2,4,0,0,4,0,5,1,0,2,2,7,38,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6
"OTU_1113",0,2,1,4,4,0,1,2,3,2,0,1,2,1,7,3,2,3,1,0,0,1,2,5,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,3
"OTU_1404",1,0,1,8,18,0,6,2,0,9,2,12,4,2,1,3,0,0,0,1,4,6,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0
"OTU_2314",11,0,3,2,2,1,1,1,0,1,2,2,2,0,2,0,1,0,6,0,0,0,1,4,2,0,1,0,2,0,0,0,0,0,0,0,7,0,0,0
"OTU_5073",2,2,4,0,0,3,1,1,2,0,0,0,1,0,0,1,3,0,0,0,1,0,2,4,4,2,1,0,2,6,2,0,5,4,1,0,1,2,2,2
