"name","Zi","Pi","type"
"OTU_523",0.866025403784439,0,"Peripherals"
"OTU_53",1.37724386420614,0,"Peripherals"
"OTU_534",1.24772001634179,0,"Peripherals"
"OTU_536",-0.418742457486497,0,"Peripherals"
"OTU_5386",0,0,"Peripherals"
"OTU_550",-0.822071093536653,0,"Peripherals"
"OTU_5522",0,0,"Peripherals"
"OTU_559",-0.198541682428942,0.32,"Peripherals"
"OTU_563",0.699634973222683,0,"Peripherals"
"OTU_569",-1.08421325480057,0,"Peripherals"
"OTU_57",1.37724386420614,0,"Peripherals"
"OTU_577",1.0690449676497,0,"Peripherals"
"OTU_578",0.785353452498602,0,"Peripherals"
"OTU_579",-0.418742457486497,0,"Peripherals"
"OTU_581",0,0,"Peripherals"
"OTU_584",0,0,"Peripherals"
"OTU_5852",0,0,"Peripherals"
"OTU_586",0.699634973222683,0.5,"Peripherals"
"OTU_588",-0.314835737950207,0,"Peripherals"
"OTU_59",-0.263727548465005,0,"Peripherals"
"OTU_590",-0.17817416127495,0,"Peripherals"
"OTU_59413",0.14651530470278,0,"Peripherals"
"OTU_597",-0.905042056257888,0.5,"Peripherals"
"OTU_598",0.192399617636238,0,"Peripherals"
"OTU_605",-0.577350269189626,0,"Peripherals"
"OTU_608",0,0,"Peripherals"
"OTU_61",-0.418742457486497,0,"Peripherals"
"OTU_610",-1.09756763813431,0,"Peripherals"
"OTU_616",-0.577350269189626,0,"Peripherals"
"OTU_625",0,0,"Peripherals"
"OTU_63",0.261325628127216,0,"Peripherals"
"OTU_631",-0.866025403784439,0,"Peripherals"
"OTU_632",0,0,"Peripherals"
"OTU_636",0,0.444444444444444,"Peripherals"
"OTU_647",1.66887608655953,0,"Peripherals"
"OTU_650",-0.408248290463863,0,"Peripherals"
"OTU_657",0,0,"Peripherals"
"OTU_66",0,0,"Peripherals"
"OTU_660",0.192399617636238,0,"Peripherals"
"OTU_666",0.46206064274372,0.21875,"Peripherals"
"OTU_67",0.730296743340221,0,"Peripherals"
"OTU_675",0,0,"Peripherals"
"OTU_678",-0.0981691815623253,0,"Peripherals"
"OTU_680",-0.670820393249937,0,"Peripherals"
"OTU_684",0,0,"Peripherals"
"OTU_688",0.606478434863123,0,"Peripherals"
"OTU_689",-0.866025403784439,0,"Peripherals"
"OTU_691",0,0,"Peripherals"
"OTU_699",0.645497224367903,0,"Peripherals"
"OTU_7",-0.198541682428942,0.32,"Peripherals"
"OTU_703",-0.981691815623253,0,"Peripherals"
"OTU_704",1.15470053837925,0,"Peripherals"
"OTU_705",0,0,"Peripherals"
"OTU_71",2.80496276124194,0.314049586776859,"Module hubs"
"OTU_711",0.55048188256318,0,"Peripherals"
"OTU_712",0.166781569587359,0.375,"Peripherals"
"OTU_719",-0.67397040163279,0,"Peripherals"
"OTU_723",-0.970448901599169,0,"Peripherals"
"OTU_727",-0.902582501721473,0.5,"Peripherals"
"OTU_729",0,0,"Peripherals"
"OTU_73",0.816496580927726,0,"Peripherals"
"OTU_735",-0.801783725737273,0,"Peripherals"
"OTU_744",0.0216590926286118,0,"Peripherals"
"OTU_746",-0.816496580927726,0,"Peripherals"
"OTU_747",-0.231059262285517,0.444444444444444,"Peripherals"
"OTU_75",1.5,0,"Peripherals"
"OTU_751",0,0,"Peripherals"
"OTU_754",-0.712612160964169,0,"Peripherals"
"OTU_755",0.46206064274372,0,"Peripherals"
"OTU_76",0,0,"Peripherals"
"OTU_761",-0.866025403784439,0,"Peripherals"
"OTU_764",-0.27524094128159,0,"Peripherals"
"OTU_77",-0.577350269189626,0.444444444444444,"Peripherals"
"OTU_770",0.866025403784439,0,"Peripherals"
"OTU_775",-0.981691815623253,0,"Peripherals"
"OTU_79",-0.577350269189626,0,"Peripherals"
"OTU_796",0.785353452498602,0,"Peripherals"
"OTU_8",0,0,"Peripherals"
"OTU_802",1.10616251320409,0,"Peripherals"
"OTU_805",0.816496580927726,0,"Peripherals"
"OTU_816",-0.638943232544051,0,"Peripherals"
"OTU_820",0,0,"Peripherals"
"OTU_823",0,0,"Peripherals"
"OTU_827",-0.577350269189626,0,"Peripherals"
"OTU_828",-0.577350269189626,0,"Peripherals"
"OTU_83",-0.866025403784439,0,"Peripherals"
"OTU_834",1,0.375,"Peripherals"
"OTU_842",-0.263727548465005,0,"Peripherals"
"OTU_846",-0.198541682428942,0,"Peripherals"
"OTU_849",-0.670820393249937,0,"Peripherals"
"OTU_85",0.902462192858829,0,"Peripherals"
"OTU_855",-0.902582501721473,0,"Peripherals"
"OTU_864",-0.859144007601605,0,"Peripherals"
"OTU_865",-0.272915295688405,0,"Peripherals"
"OTU_87",0.967001011038351,0,"Peripherals"
"OTU_879",0,0,"Peripherals"
"OTU_89",0,0,"Peripherals"
"OTU_910",-0.970448901599169,0,"Peripherals"
"OTU_917",0,0,"Peripherals"
"OTU_919",-0.712612160964169,0,"Peripherals"
"OTU_92",0.556758157870565,0,"Peripherals"
"OTU_921",0,0,"Peripherals"
"OTU_928",0,0,"Peripherals"
"OTU_935",2.11176479793507,0,"Peripherals"
"OTU_943",0.447213595499958,0,"Peripherals"
"OTU_945",-1.09756763813431,0,"Peripherals"
"OTU_956",-0.970448901599169,0,"Peripherals"
"OTU_959",-0.859144007601605,0,"Peripherals"
"OTU_960",-0.859144007601605,0,"Peripherals"
"OTU_961",0,0,"Peripherals"
"OTU_97",1.66887608655953,0,"Peripherals"
"OTU_979",1.15470053837925,0,"Peripherals"
"OTU_98",0.866025403784439,0,"Peripherals"
"OTU_983",0,0,"Peripherals"
"OTU_99",0,0,"Peripherals"
"OTU_991",-0.314835737950207,0,"Peripherals"
"OTU_1078",0.645497224367903,0,"Peripherals"
"OTU_108",0,0,"Peripherals"
"OTU_1092",0,0,"Peripherals"
"OTU_1111",-0.314835737950207,0,"Peripherals"
"OTU_11344",0,0,"Peripherals"
"OTU_1220",0,0,"Peripherals"
"OTU_1221",1,0,"Peripherals"
"OTU_1236",-0.418121005003545,0,"Peripherals"
"OTU_1279",0.730296743340221,0,"Peripherals"
"OTU_13018",0,0,"Peripherals"
"OTU_1305",1.15470053837925,0,"Peripherals"
"OTU_1346",0.166781569587359,0,"Peripherals"
"OTU_1376",0.261325628127216,0,"Peripherals"
"OTU_1404",0,0,"Peripherals"
"OTU_1406",0,0,"Peripherals"
"OTU_1417",-0.418121005003545,0,"Peripherals"
"OTU_1522",-1,0,"Peripherals"
"OTU_1529",0,0,"Peripherals"
"OTU_1540",0.261325628127216,0,"Peripherals"
"OTU_1546",0,0,"Peripherals"
"OTU_1551",-0.822071093536653,0,"Peripherals"
"OTU_1562",-1.10096376512636,0,"Peripherals"
"OTU_1577",0,0,"Peripherals"
"OTU_1591",-0.712612160964169,0,"Peripherals"
"OTU_1624",-0.822071093536653,0,"Peripherals"
"OTU_1638",0,0,"Peripherals"
"OTU_1664",0.645497224367903,0,"Peripherals"
"OTU_1704",0.261325628127216,0,"Peripherals"
"OTU_1705",0,0,"Peripherals"
"OTU_1761",-0.577350269189626,0,"Peripherals"
"OTU_1772",0.261325628127216,0,"Peripherals"
"OTU_1789",0,0,"Peripherals"
"OTU_1799",0,0,"Peripherals"
"OTU_1842",0,0,"Peripherals"
"OTU_1901",-0.5,0,"Peripherals"
"OTU_1953",0,0,"Peripherals"
"OTU_1967",0,0,"Peripherals"
"OTU_1978",0,0,"Peripherals"
"OTU_1982",-0.866025403784439,0,"Peripherals"
"OTU_1996",-0.859144007601605,0,"Peripherals"
"OTU_2002",-0.712612160964169,0,"Peripherals"
"OTU_2059",-1,0,"Peripherals"
"OTU_2114",0,0,"Peripherals"
"OTU_2122",0,0,"Peripherals"
"OTU_2130",0,0,"Peripherals"
"OTU_2140",0,0,"Peripherals"
"OTU_2183",0.166781569587359,0,"Peripherals"
"OTU_2233",-0.577350269189626,0,"Peripherals"
"OTU_2254",0,0,"Peripherals"
"OTU_2311",-0.866025403784439,0,"Peripherals"
"OTU_2320",-0.272915295688405,0,"Peripherals"
"OTU_2343",1,0,"Peripherals"
"OTU_2364",1.15470053837925,0,"Peripherals"
"OTU_2377",0,0,"Peripherals"
"OTU_2410",0,0,"Peripherals"
"OTU_2419",0,0,"Peripherals"
"OTU_2471",0.261325628127216,0,"Peripherals"
"OTU_2624",0,0,"Peripherals"
"OTU_2628",-0.5,0,"Peripherals"
"OTU_2632",-0.577350269189626,0,"Peripherals"
"OTU_2675",0,0,"Peripherals"
"OTU_2693",0.100560228473099,0,"Peripherals"
"OTU_2714",0,0,"Peripherals"
"OTU_2731",-0.577350269189626,0,"Peripherals"
"OTU_2753",0,0,"Peripherals"
"OTU_2812",0,0,"Peripherals"
"OTU_2844",0.866025403784439,0,"Peripherals"
"OTU_2854",0,0,"Peripherals"
"OTU_2860",1.15470053837925,0,"Peripherals"
"OTU_2870",-0.638943232544051,0,"Peripherals"
"OTU_2880",-0.577350269189626,0,"Peripherals"
"OTU_2883",-0.866025403784439,0,"Peripherals"
"OTU_2971",-0.816496580927726,0,"Peripherals"
"OTU_3016",0,0,"Peripherals"
"OTU_3020",0,0,"Peripherals"
"OTU_3023",0,0,"Peripherals"
"OTU_3033",0,0,"Peripherals"
"OTU_3045",0.940772261257977,0,"Peripherals"
"OTU_3060",-0.822071093536653,0,"Peripherals"
"OTU_3087",0,0,"Peripherals"
"OTU_3123",0,0,"Peripherals"
"OTU_3124",0,0,"Peripherals"
"OTU_3149",0,0,"Peripherals"
"OTU_3164",-0.801783725737273,0,"Peripherals"
