"name","Degree","Local_Clustering_Coefficient","Betweenness_Centrality","Closeness_Centrality","Eigenvector_Centrality","PageRank","K_core","Zi","Pi","type"
"OTU_59",3,0.333333333333333,72,0.0152137493043024,6.17905145745802e-17,0.0017106220467575,2,-0.263727548465005,0,"Peripherals"
"OTU_590",2,1,0,0.120445041174783,1.64218427803908e-17,0.00151243435682964,2,-0.17817416127495,0,"Peripherals"
"OTU_59413",4,1,0,0.0176838159369342,1.47626206766418e-16,0.00154352118503281,4,0.14651530470278,0,"Peripherals"
"OTU_597",2,0,1503,0.00116433856932138,0.000348183536834731,0.00141588131384081,1,-0.905042056257888,0.5,"Peripherals"
"OTU_598",3,0,1028,0.001059330961344,8.12519813570062e-06,0.0021872852771462,1,0.192399617636238,0,"Peripherals"
"OTU_605",2,1,0,0.00105826726032614,0.00507821393873292,0.0012515639575928,2,-0.577350269189626,0,"Peripherals"
"OTU_608",1,0,0,1.2115846130505,1.51793744004733e-18,0.00173310225303281,1,0,0,"Peripherals"
"OTU_61",3,0.666666666666667,10,0.00133957957184706,0.113555263549324,0.00124768514723268,2,-0.418742457486497,0,"Peripherals"
"OTU_610",1,0,0,0.0101367275281718,4.05631312093451e-18,0.000862441231800336,1,-1.09756763813431,0,"Peripherals"
"OTU_616",1,0,0,0.407782034695145,2.90352946472924e-18,0.00133058856104678,1,-0.577350269189626,0,"Peripherals"
"OTU_625",1,0,0,1.19576323238692,2.74814345754828e-18,0.00173310225303281,1,0,0,"Peripherals"
"OTU_63",3,1,0,0.0172288312854538,4.69719748802238e-17,0.00169809358597695,3,0.261325628127216,0,"Peripherals"
"OTU_631",1,0,0,0.202758304485436,2.34973186863773e-18,0.00122531590838571,1,-0.866025403784439,0,"Peripherals"
"OTU_632",1,0,0,1.23768263578601,3.17969259568994e-18,0.00173310225303281,1,0,0,"Peripherals"
"OTU_636",3,0,855,0.00115355558109097,0.0167980013314233,0.00166520266055806,2,0,0.444444444444444,"Peripherals"
"OTU_647",4,0,68,0.0225391351752072,2.01221090307209e-17,0.00321268823666701,1,1.66887608655953,0,"Peripherals"
"OTU_650",2,0,2,0.151111408395849,1.27499729062438e-17,0.00150093854126945,2,-0.408248290463863,0,"Peripherals"
"OTU_657",1,0,0,1.20526182692363,0,0.00173310225303281,1,0,0,"Peripherals"
"OTU_66",1,0,0,1.22984127392858,7.53674763421653e-19,0.00173310225303414,1,0,0,"Peripherals"
"OTU_660",3,0,521,0.00111734447469233,3.87517066945806e-05,0.00224855891724947,1,0.192399617636238,0,"Peripherals"
"OTU_666",8,0.25,1688,0.00147953012073356,0.316746819038065,0.00302935480760097,4,0.46206064274372,0.21875,"Peripherals"
"OTU_67",2,0,4,0.203454009915797,5.78439643692768e-19,0.00207903861754064,1,0.730296743340221,0,"Peripherals"
"OTU_675",1,0,0,1.19999181384326,0,0.00173310225303414,1,0,0,"Peripherals"
"OTU_678",2,0,30,0.0185295665850701,2.11432864050003e-17,0.00175351466922296,1,-0.0981691815623253,0,"Peripherals"
"OTU_680",1,0,0,0.149754446600374,3.81705999948736e-18,0.00113014314795119,1,-0.670820393249937,0,"Peripherals"
"OTU_684",1,0,0,1.23205396389508,0,0.00173310225303281,1,0,0,"Peripherals"
"OTU_688",4,0.333333333333333,682,0.0013256211351975,0.00292309414466188,0.00249267676468852,2,0.606478434863123,0,"Peripherals"
"OTU_689",1,0,0,0.198595928773813,0,0.00120754794093764,1,-0.866025403784439,0,"Peripherals"
"OTU_691",1,0,0,1.24273664535726,0,0.00173310225303414,1,0,0,"Peripherals"
"OTU_699",2,0,4,0.111162062851034,6.02023653239127e-18,0.00207501875895368,1,0.645497224367903,0,"Peripherals"
"OTU_7",5,0.3,429,0.00148418838070384,0.168072477280553,0.00206673894607708,3,-0.198541682428942,0.32,"Peripherals"
"OTU_703",1,0,0,0.0175544361063627,7.43766622336134e-19,0.000930334989133501,1,-0.981691815623253,0,"Peripherals"
"OTU_704",2,0,1,0.60432482441553,4.52345398730357e-19,0.00252939247739991,1,1.15470053837925,0,"Peripherals"
"OTU_705",1,0,0,1.24570325625405,2.5033734995699e-18,0.00173310225303281,1,0,0,"Peripherals"
"OTU_71",11,0.0909090909090909,6138,0.00163574718506378,0.0228522343166682,0.00584634579992642,3,2.80496276124194,0.314049586776859,"Module hubs"
"OTU_711",3,0.333333333333333,4,0.170729885626082,8.19999970704801e-18,0.00223327158957294,2,0.55048188256318,0,"Peripherals"
"OTU_712",4,0.333333333333333,394,0.00146129606472033,0.00502893158449176,0.00214949030626876,2,0.166781569587359,0.375,"Peripherals"
"OTU_719",2,1,0,0.0116511480058896,2.88681928951376e-17,0.00132273324009539,2,-0.67397040163279,0,"Peripherals"
"OTU_723",1,0,0,0.000904245371826134,5.96645374506201e-06,0.000928439933021043,1,-0.970448901599169,0,"Peripherals"
"OTU_727",2,0,50,0.00133782833277704,0.0281239337124495,0.00109686185576177,2,-0.902582501721473,0.5,"Peripherals"
"OTU_729",1,0,0,1.2260674730801,0,0.00173310225303414,1,0,0,"Peripherals"
"OTU_73",3,0.333333333333333,2,0.172006820113867,1.61750127412601e-17,0.0021500025932811,2,0.816496580927726,0,"Peripherals"
"OTU_735",1,0,0,0.101205065004979,6.55300988842409e-18,0.000874057933879432,1,-0.801783725737273,0,"Peripherals"
"OTU_744",5,0.6,40,0.00149502163212043,0.319343839947415,0.00171245026889845,4,0.0216590926286118,0,"Peripherals"
"OTU_746",1,0,0,0.110446831818541,4.7118871518556e-18,0.00110946001675015,1,-0.816496580927726,0,"Peripherals"
"OTU_747",3,0.333333333333333,371,0.00133462847112524,0.0371164032928918,0.00154477779457275,2,-0.231059262285517,0.444444444444444,"Peripherals"
"OTU_75",3,0,3,0.411681931524133,0,0.00332568270176655,1,1.5,0,"Peripherals"
"OTU_751",1,0,0,1.17016586349773,0,0.00173310225303281,1,0,0,"Peripherals"
"OTU_754",1,0,0,0.0011171409093986,0.000299886582118256,0.000776903850621775,1,-0.712612160964169,0,"Peripherals"
"OTU_755",7,0.619047619047619,358,0.0015183795155819,0.457386788121886,0.00239476762611573,5,0.46206064274372,0,"Peripherals"
"OTU_76",1,0,0,1.23336805537508,1.63624058661365e-18,0.00173310225303414,1,0,0,"Peripherals"
"OTU_761",1,0,0,0.204456447982684,1.0574578404846e-17,0.00120450126396578,1,-0.866025403784439,0,"Peripherals"
"OTU_764",2,1,0,0.132073197383106,1.18107081555697e-17,0.0014838771054767,2,-0.27524094128159,0,"Peripherals"
"OTU_77",3,0.333333333333333,348,0.00125337533864048,0.0420037404539685,0.00167224225448177,2,-0.577350269189626,0.444444444444444,"Peripherals"
"OTU_770",2,0,2,0.292440411469959,0,0.00224202847838485,1,0.866025403784439,0,"Peripherals"
"OTU_775",1,0,0,0.019746318853784,7.00735190735482e-18,0.000823145098955542,1,-0.981691815623253,0,"Peripherals"
"OTU_79",1,0,0,0.406304344552698,1.93342802429371e-18,0.0013198129903395,1,-0.577350269189626,0,"Peripherals"
"OTU_796",3,0.333333333333333,66,0.0254066198106686,2.55611072381129e-17,0.00213806561860813,2,0.785353452498602,0,"Peripherals"
"OTU_8",1,0,0,1.24040870647045,0,0.00173310225303281,1,0,0,"Peripherals"
"OTU_802",3,0,861,0.000885834120258607,4.16067532574959e-06,0.0024428534819227,1,1.10616251320409,0,"Peripherals"
"OTU_805",3,0,5,0.173093310379675,6.68843875945152e-18,0.00225538633546062,2,0.816496580927726,0,"Peripherals"
"OTU_816",2,1,0,0.00123397512212161,0.0422827316604383,0.00101627229098193,2,-0.638943232544051,0,"Peripherals"
"OTU_820",1,0,0,1.21011163731523,0,0.00173310225303281,1,0,0,"Peripherals"
"OTU_823",2,1,0,0.613491924909962,0,0.0017296298411672,2,0,0,"Peripherals"
"OTU_827",1,0,0,0.407172196972124,8.92257143802627e-18,0.00131186515953691,1,-0.577350269189626,0,"Peripherals"
"OTU_828",1,0,0,0.405895675755388,0,0.00134598525949053,1,-0.577350269189626,0,"Peripherals"
"OTU_83",1,0,0,0.202203146490806,5.97730066551816e-18,0.00120075134819054,1,-0.866025403784439,0,"Peripherals"
"OTU_834",4,0,1205,0.00123591442231223,0.000298598346712269,0.00271645427608526,2,1,0.375,"Peripherals"
"OTU_842",3,0.333333333333333,50,0.0149814839283061,4.50148092602145e-17,0.00167537073908652,2,-0.263727548465005,0,"Peripherals"
"OTU_846",4,0.5,193,0.00140005030265722,0.201866698643592,0.00153225541777402,3,-0.198541682428942,0,"Peripherals"
"OTU_849",1,0,0,0.13231442765495,0,0.00116139259026272,1,-0.670820393249937,0,"Peripherals"
"OTU_85",9,0.472222222222222,675,0.00156312070476831,0.530743879571665,0.00283821705175325,5,0.902462192858829,0,"Peripherals"
"OTU_855",1,0,0,0.000915436710587231,3.54995615651893e-05,0.000963669928796608,1,-0.902582501721473,0,"Peripherals"
"OTU_864",1,0,0,0.00120964581166911,0.0417845813770192,0.000614444420002361,1,-0.859144007601605,0,"Peripherals"
