"name","Degree","Local_Clustering_Coefficient","Betweenness_Centrality","Closeness_Centrality","Eigenvector_Centrality","PageRank","K_core","Zi","Pi","type"
"OTU_1167",15,0.285714285714286,7796,0.000427512486902623,0.352617061833271,0.00276642728302709,6,0.565615228259112,0.666666666666667,"Connectors"
"OTU_117",27,0.190883190883191,7480,0.000443030414952716,0.843646553341356,0.00433555122862524,7,1.42111574086435,0.493827160493827,"Peripherals"
"OTU_11707",1,0,0,1.22665505431171,9.08788976772616e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_1173",1,0,0,0.112647020755168,5.75332264868922e-18,0.000770582201101264,1,-0.816496580927726,0,"Peripherals"
"OTU_1177",2,0,584,0.000370731445230365,0.0290559981284619,0.000779584597318706,1,-0.707106781186547,0.5,"Peripherals"
"OTU_1182",1,0,0,1.18003375001775,4.68499247488438e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_119",3,0,8,0.17650944334511,1.29373319758206e-17,0.00208435243496285,1,1.63299316185545,0,"Peripherals"
"OTU_1191",1,0,0,0.016240149423382,1.34405465107703e-17,0.000554992836816672,1,-0.960189875679424,0,"Peripherals"
"OTU_1201",2,0,17,0.000371835302434787,0.0177062096523061,0.000529489796293525,2,-0.900577398181458,0,"Peripherals"
"OTU_1202",3,0.666666666666667,0,0.000349012544697474,0.00269679030540081,0.000760463649417054,3,-0.418063429582822,0,"Peripherals"
"OTU_1205",1,0,0,0.000266710189032814,7.91688983810483e-05,0.00060619679848096,1,-0.644658371220304,0,"Peripherals"
"OTU_1207",2,0,584,0.000274411880891574,9.43418600270878e-06,0.000992874123082465,1,-0.501017615821025,0,"Peripherals"
"OTU_121",10,0.155555555555556,3034,0.000381778055377727,0.00227997077003182,0.00288801186751155,4,2.54220049509187,0,"Module hubs"
"OTU_122",1,0,0,0.000273740179415689,1.09175956992314e-05,0.000598594309206008,1,-0.881419879685137,0,"Peripherals"
"OTU_1224",1,0,0,0.000187907548575189,1.83518332432753e-10,0.000559264504572891,1,-0.768570894265581,0,"Peripherals"
"OTU_1226",3,0,1166,0.000200820646558457,3.34518440486281e-10,0.00144509760166051,2,0.257307200202485,0,"Peripherals"
"OTU_1229",2,0,584,0.000227195889754753,3.15434423055559e-08,0.00117934532548447,1,-0.153714178853116,0,"Peripherals"
"OTU_123",3,0,9,0.121539381015687,7.89732769166132e-18,0.00207890299675679,1,1.35169067066875,0,"Peripherals"
"OTU_1231",2,0,584,0.00017273193824709,1.22026248759907e-11,0.00129599126797933,1,-0.153714178853116,0,"Peripherals"
"OTU_1239",4,0.166666666666667,1384,0.000365153708566382,0.00108252476483534,0.00132646520762246,3,0.259786911907198,0,"Peripherals"
"OTU_1249",1,0,0,0.000220846522532482,4.92449495072008e-07,0.000617310621229504,1,-0.726273039202563,0,"Peripherals"
"OTU_1252",8,0.5,224,0.000404413622788739,0.260614143179881,0.00138146182713912,6,0.104638118106439,0.21875,"Peripherals"
"OTU_1255",4,0.166666666666667,3298,0.000356168823827466,0.0181884717886879,0.00134534025999693,3,-0.418063429582822,0.375,"Peripherals"
"OTU_1257",1,0,0,1.22101870206998,5.2168418556918e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_126",14,0.241758241758242,5089,0.000419241164965566,0.258037007028279,0.00272418439094925,6,0.811534892719595,0.571428571428571,"Peripherals"
"OTU_1264",1,0,0,0.000137893351606139,1.46439574778661e-15,0.000527448036790505,1,-0.873358518616963,0,"Peripherals"
"OTU_1266",1,0,0,0.000247233946245555,8.2101603119364e-05,0.000588359121332448,1,-1.20455918504371,0,"Peripherals"
"OTU_127",3,0,11631,0.000316509412526175,2.13678564288286e-05,0.00148351375710676,2,0.257307200202485,0,"Peripherals"
"OTU_1272",1,0,0,1.23301537389779,2.58059991770646e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_1277",2,0,239,0.000352568039416101,0.00291224507699563,0.000657042168354562,2,-0.881419879685137,0.5,"Peripherals"
"OTU_1278",1,0,0,1.2177949075271,3.88807294315719e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_128",7,0.0952380952380952,14297,0.000267722023339461,7.8668362287289e-07,0.0027991759348321,2,2.86468682892099,0,"Module hubs"
"OTU_1287",1,0,0,1.22753564167208,3.81125042474063e-18,0.00123001230012231,1,0,0,"Peripherals"
"OTU_1288",1,0,0,0.000121663886514009,1.95265111210766e-17,0.000678928009549726,1,-0.873358518616963,0,"Peripherals"
"OTU_1289",1,0,0,0.407899086319248,5.87886724601685e-18,0.000943624458274618,1,-0.577350269189626,0,"Peripherals"
"OTU_1297",1,0,0,0.000227350224910837,3.10903480051538e-08,0.000590663115568532,1,-0.768570894265581,0,"Peripherals"
"OTU_13",13,0.153846153846154,14744,0.000466444897228633,0.073928155494852,0.00277272683626689,5,-0.175048292229644,0.591715976331361,"Peripherals"
"OTU_130",3,0.333333333333333,584,0.000246330428957088,7.35015633606364e-06,0.00161816597852746,2,0.544704779401922,0,"Peripherals"
"OTU_1301",2,0,281,0.000352363179240252,0.00410087504134222,0.000571150378004731,2,-0.909902758503789,0.5,"Peripherals"
"OTU_1307",5,0.3,586,0.000147765979040847,2.11323031319283e-14,0.00201168696990109,2,1.27644706567095,0,"Peripherals"
"OTU_1309",1,0,0,0.000286780388712074,0.00132260913172932,0.000465835534283199,1,-0.802225572149362,0,"Peripherals"
"OTU_131",2,0,2,0.291991163062372,5.38023486252764e-18,0.00159296886415436,1,0.866025403784439,0,"Peripherals"
"OTU_1310",2,0,584,0.000363746960371797,0.000888304867804913,0.000890541215094527,1,-0.501017615821025,0,"Peripherals"
"OTU_1315",2,0,1166,0.000346113167668679,0.0290520354214895,0.00081224416994772,1,-0.651081623773395,0,"Peripherals"
"OTU_1324",2,0,584,0.000147275182078461,1.61574693854711e-14,0.00110543147515925,1,-0.335907122544986,0,"Peripherals"
"OTU_1326",1,0,0,1.23541314795461,3.09924912070485e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_133",1,0,0,0.000205000789556969,2.14939172813986e-09,0.00067945711576492,1,-0.768570894265581,0,"Peripherals"
"OTU_1331",1,0,0,0.000290014759159546,0.0017192373043128,0.00045091046191063,1,-0.909902758503789,0,"Peripherals"
"OTU_1332",1,0,0,0.387856883933643,6.08664511483663e-18,0.000953046203761366,1,-0.577350269189626,0,"Peripherals"
"OTU_1338",1,0,0,0.000137783546352962,1.49207248850122e-15,0.000531189651377142,1,-0.873358518616963,0,"Peripherals"
"OTU_134",16,0.216666666666667,3439,0.000418361094510163,0.402333462278675,0.00310008691690705,6,0.406926014858372,0.5859375,"Peripherals"
"OTU_1341",1,0,0,0.000257927616091384,2.05809904101198e-06,0.000677833174481183,1,-0.881419879685137,0,"Peripherals"
"OTU_1354",2,0,2324,0.000365582773540363,0.00787681811694598,0.000813282291527554,1,-0.956182887467515,0.5,"Peripherals"
"OTU_1356",6,0.133333333333333,2163,0.000319106793504009,0.00170514836820064,0.00223145194294696,3,0.319695563798628,0,"Peripherals"
"OTU_1357",1,0,0,1.15880109751029,2.24804083884122e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_136",4,0.333333333333333,1678,0.000295162592613195,1.01176106853926e-05,0.00156556446552561,2,0.259786911907198,0,"Peripherals"
"OTU_1374",1,0,0,0.000244063220575966,0.000215403308822054,0.000519966070571603,1,-0.802225572149362,0,"Peripherals"
"OTU_1375",1,0,0,1.18723067113229,4.3440506211437e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_1379",9,0.222222222222222,2890,0.000415314247466311,0.237614580647957,0.00172611587455934,5,-0.0299424710392811,0.197530864197531,"Peripherals"
"OTU_138",4,0.166666666666667,3644,0.000354198278919317,0.0110690303714456,0.00122368807519584,2,-0.418063429582822,0.375,"Peripherals"
"OTU_1382",2,0,1,0.583209857947349,1.20643350250158e-17,0.00179515308666546,1,1.15470053837925,0,"Peripherals"
"OTU_139",6,0.2,733,0.000370227114904378,0.200077521690648,0.00123788141508015,4,-0.0465058302695282,0,"Peripherals"
"OTU_1395",2,1,0,0.000386533357540739,0.0150919405724356,0.000502286903117207,2,-0.900577398181458,0,"Peripherals"
"OTU_140",10,0.311111111111111,3862,0.000430592563402348,0.0759517943537306,0.00202291473602996,5,0.811534892719595,0.32,"Peripherals"
"OTU_1405",5,0.3,2838,0.000158195240092004,2.46800230235796e-13,0.00194781387954477,2,1.27644706567095,0,"Peripherals"
"OTU_1410",3,0.666666666666667,84,0.000390075863331095,0.1380323240489,0.000654436656447711,2,-0.900577398181458,0.444444444444444,"Peripherals"
"OTU_1411",2,0,37,0.000325300088633914,9.30983185529454e-05,0.00078336236944995,2,-0.501017615821025,0,"Peripherals"
"OTU_1412",1,0,0,1.22965966942525,4.21613573798282e-18,0.00123001230012325,1,0,0,"Peripherals"
"OTU_1413",2,0,66,0.00037086394576284,0.00335041134956099,0.000621621252881747,2,-0.881419879685137,0.5,"Peripherals"
"OTU_1414",1,0,0,0.000344983037142254,0.00824590346493743,0.000356495222178827,1,-1.04568321937182,0,"Peripherals"
"OTU_142",5,0.3,64,0.000399807556169207,0.00986043958038616,0.00116157812641849,4,-0.172143765122338,0.32,"Peripherals"
"OTU_1429",12,0.212121212121212,1769,0.000413289707701991,0.054583083035441,0.00255129904907927,5,0.260269171341445,0.291666666666667,"Peripherals"
"OTU_1430",3,0,175,0.000349426149044774,0.00414781499784196,0.000804411377166791,2,-0.755471576991095,0,"Peripherals"
"OTU_1436",1,0,0,0.000236042890425704,5.64035084692112e-08,0.000537467219687009,1,-1.04638261415677,0,"Peripherals"
"OTU_144",1,0,0,1.21104600111517,7.83886787003074e-18,0.00123001230012231,1,0,0,"Peripherals"
"OTU_1454",1,0,0,0.389790152988173,8.76912726993668e-18,0.000960055080200182,1,-0.577350269189626,0,"Peripherals"
"OTU_1456",2,0,584,0.000129503523634874,1.00725139713787e-16,0.00127126788670693,1,-0.335907122544986,0,"Peripherals"
"OTU_146",11,0.145454545454545,9777,0.000417657672796407,0.0150036024764643,0.00263554216930886,5,1.05745455718008,0.314049586776859,"Peripherals"
